 

stn;time;uto200s0;gre000z0;tre200s0;ure200s0;fkl010z0;fve010z0
THU;202405010800;7.5;409;14.1;61.8;0.6;0.5
THU;202405010810;7.0;422;14.4;56.8;0.2;0.2
THU;202405010820;7.1;398;14.8;56.5;0.4;0.3
THU;202405010830;7.5;342;14.9;58.8;0.5;0.5
THU;202405010840;7.5;388;15.1;58.4;0.4;0.3
THU;202405010850;7.5;516;15.4;57.0;0.5;0.5
THU;202405010900;7.4;485;15.8;54.9;0.2;0.1
THU;202405010910;7.4;338;16.0;54.3;0.4;0.3
THU;202405010920;7.3;277;16.1;53.7;0.2;0.1
THU;202405010930;7.6;260;16.1;55.1;0.7;0.7
THU;202405010940;7.8;298;16.3;56.3;0.6;0.5
THU;202405010950;7.8;294;16.4;55.9;0.6;0.5
THU;202405011000;7.9;283;16.6;56.4;0.7;0.6
THU;202405011010;8.1;431;16.9;56.0;0.6;0.6
THU;202405011020;8.0;549;17.3;54.0;0.3;0.2
THU;202405011030;8.3;665;17.8;54.5;0.5;0.4
THU;202405011040;8.4;652;18.2;53.9;0.3;0.3
THU;202405011050;8.6;790;19.0;52.6;0.8;0.4
THU;202405011100;7.8;967;19.6;46.2;1.8;1.7
THU;202405011110;7.6;844;20.0;44.0;1.5;1.5
THU;202405011120;6.9;722;20.3;39.6;1.9;1.8
THU;202405011130;6.7;480;20.6;37.5;1.9;1.8
THU;202405011140;6.9;586;20.9;37.9;1.3;1.0
THU;202405011150;6.9;429;20.8;38.2;1.8;1.6
THU;202405011200;7.1;340;20.4;40.0;1.9;1.7
THU;202405011210;7.3;558;20.6;40.8;1.6;1.6
THU;202405011220;6.8;342;20.4;38.5;1.2;1.1
THU;202405011230;6.8;310;20.3;38.7;1.2;1.2
THU;202405011240;6.9;307;20.0;40.0;1.4;1.4
THU;202405011250;7.0;294;20.1;40.4;1.1;1.1
THU;202405011300;7.1;271;20.2;40.6;1.1;1.1
THU;202405011310;6.6;272;20.2;37.7;0.6;0.6
THU;202405011320;7.0;300;20.3;40.1;1.0;1.0
THU;202405011330;6.9;317;20.6;38.5;0.6;0.5
THU;202405011340;7.0;313;20.7;38.8;0.5;0.4
THU;202405011350;7.9;296;20.7;43.8;0.9;0.9
THU;202405011400;7.8;284;20.8;43.0;1.1;0.9
THU;202405011410;7.1;277;20.8;39.0;2.3;2.1
THU;202405011420;6.8;228;20.4;38.4;3.2;3.2
THU;202405011430;6.5;171;19.8;38.0;3.7;3.7
THU;202405011440;6.5;136;18.8;40.8;5.2;5.2
THU;202405011450;6.5;111;18.5;41.1;5.0;4.9
THU;202405011500;6.5;100;18.6;40.8;4.2;4.2
THU;202405011510;6.3;96;18.6;39.6;4.7;4.7
THU;202405011520;6.2;95;18.5;39.5;4.8;4.8
THU;202405011530;6.3;88;18.6;39.7;4.3;4.3
THU;202405011540;6.3;84;18.6;39.7;4.5;4.4
THU;202405011550;6.3;84;18.5;39.9;4.7;4.7
THU;202405011600;6.2;79;18.4;39.6;4.5;4.5
THU;202405011610;6.2;75;18.3;39.5;4.3;4.3
THU;202405011620;6.2;77;18.3;39.6;4.7;4.7
THU;202405011630;6.2;73;18.0;40.3;4.1;4.0
THU;202405011640;6.1;65;18.1;39.7;5.2;5.2
THU;202405011650;6.1;63;18.1;39.5;4.6;4.6
THU;202405011700;6.1;53;18.1;39.5;3.9;3.9
THU;202405011710;6.1;47;17.9;40.2;4.1;4.1
THU;202405011720;6.0;36;17.9;39.7;4.7;4.7
THU;202405011730;6.0;29;17.7;40.0;4.9;4.9
THU;202405011740;6.0;28;17.8;39.2;5.2;5.2
THU;202405011750;5.9;21;17.7;39.2;5.1;5.1
THU;202405011800;5.9;17;17.7;39.0;4.9;4.9
THU;202405011810;5.9;12;17.6;39.1;5.0;5.0
THU;202405011820;5.9;8;17.3;40.0;4.5;4.5
THU;202405011830;5.8;2;17.4;39.3;5.0;5.0
THU;202405011840;5.8;0;17.1;39.9;5.0;5.0
THU;202405011850;5.8;0;17.0;40.0;5.1;5.0
THU;202405011900;5.8;0;17.0;39.8;4.9;4.9
THU;202405011910;5.8;0;16.8;40.3;3.9;3.9
THU;202405011920;5.7;0;16.8;40.0;3.9;3.9
THU;202405011930;5.8;0;16.8;40.3;4.0;4.0
THU;202405011940;5.8;0;16.9;39.8;3.6;3.6
THU;202405011950;5.9;0;16.2;42.8;2.3;2.2
THU;202405012000;6.2;0;14.9;48.8;1.9;1.9
THU;202405012010;6.3;0;14.7;50.5;2.3;2.3
THU;202405012020;6.2;0;15.1;48.4;1.3;0.8
THU;202405012030;6.2;0;14.9;49.2;0.7;0.3
THU;202405012040;6.0;0;15.8;44.8;1.6;1.6
THU;202405012050;6.2;0;15.2;47.3;0.8;0.3
THU;202405012100;6.3;0;14.5;50.6;0.8;0.8
THU;202405012110;6.9;0;12.8;61.9;2.5;2.4
THU;202405012120;6.8;0;13.5;58.3;1.4;1.3
THU;202405012130;7.0;0;12.6;63.1;1.9;1.8
THU;202405012140;7.0;0;12.2;64.7;1.4;1.3
THU;202405012150;6.8;0;13.1;59.8;1.2;1.2
THU;202405012200;6.8;0;12.7;61.6;2.4;2.4
THU;202405012210;6.9;0;12.9;61.4;2.7;2.7
THU;202405012220;7.3;0;11.9;68.8;1.2;0.9
THU;202405012230;7.3;0;11.8;69.4;1.0;1.0
THU;202405012240;7.3;0;10.7;74.8;1.8;1.7
THU;202405012250;7.3;0;11.0;73.5;1.5;1.4
THU;202405012300;7.3;0;11.4;71.2;1.1;1.0
THU;202405012310;7.2;0;11.3;70.6;0.9;0.8
THU;202405012320;7.5;0;10.7;76.3;0.6;0.5
THU;202405012330;7.5;0;10.3;77.9;1.0;0.6
THU;202405012340;7.7;0;9.9;82.3;1.1;0.9
THU;202405012350;7.7;0;9.9;81.8;0.6;0.3
THU;202405020000;7.6;0;9.9;81.0;0.7;0.6
THU;202405020010;7.6;0;9.7;82.7;1.2;1.2
THU;202405020020;8.0;0;9.5;87.7;0.8;0.8
THU;202405020030;7.7;0;10.6;78.9;0.8;0.8
THU;202405020040;7.8;0;10.3;81.1;1.3;1.0
THU;202405020050;7.7;0;10.6;79.3;0.5;0.3
THU;202405020100;7.8;0;10.7;79.3;1.1;1.1
THU;202405020110;8.0;0;10.4;82.9;0.9;0.8
THU;202405020120;8.1;0;10.1;86.1;0.2;0.2
THU;202405020130;8.2;0;10.3;85.5;0.6;0.5
THU;202405020140;8.1;0;10.4;83.7;0.5;0.5
THU;202405020150;8.1;0;10.4;83.7;0.5;0.5
THU;202405020200;8.5;0;9.8;91.3;0.2;0.2
THU;202405020210;8.4;0;9.8;91.1;0.6;0.6
THU;202405020220;8.4;0;9.9;89.9;0.8;0.8
THU;202405020230;8.4;0;9.8;90.8;0.5;0.4
THU;202405020240;8.3;0;10.2;87.2;0.5;0.5
THU;202405020250;8.3;0;10.3;87.3;0.4;0.2
THU;202405020300;8.3;0;10.4;86.4;0.9;0.9
THU;202405020310;8.2;0;10.5;84.4;0.6;0.6
THU;202405020320;8.3;0;10.4;85.6;0.6;0.5
THU;202405020330;8.3;0;10.1;88.6;0.6;0.6
THU;202405020340;8.5;0;9.9;91.0;0.6;0.2
THU;202405020350;8.5;0;9.8;91.6;0.4;0.4
THU;202405020400;8.4;0;10.0;89.8;0.4;0.4
THU;202405020410;8.6;0;9.6;93.5;0.8;0.8
THU;202405020420;8.7;0;9.6;94.7;0.8;0.8
THU;202405020430;8.7;7;9.8;93.9;0.5;0.4
THU;202405020440;8.6;20;10.2;90.1;0.3;0.3
THU;202405020450;8.6;16;10.0;91.0;0.3;0.3
THU;202405020500;8.8;19;9.9;94.2;0.2;0.2
THU;202405020510;9.0;34;10.0;95.2;0.7;0.7
THU;202405020520;8.9;44;10.5;92.2;0.4;0.4
THU;202405020530;9.2;52;10.9;92.4;0.1;0.1
THU;202405020540;9.4;76;11.3;92.1;0.2;0.2
THU;202405020550;9.2;96;11.7;87.8;0.2;0.1
THU;202405020600;9.0;94;11.9;84.6;0.3;0.2
THU;202405020610;9.0;106;12.1;83.7;0.2;0.2
THU;202405020620;9.0;173;12.4;82.6;0.3;0.1
THU;202405020630;8.8;201;12.7;79.1;0.5;0.5
THU;202405020640;8.7;190;13.0;77.1;0.7;0.7
THU;202405020650;8.6;138;13.0;75.6;0.5;0.5
THU;202405020700;8.6;168;13.1;75.1;0.4;0.4
THU;202405020710;8.8;202;13.3;75.9;0.8;0.8
THU;202405020720;8.5;214;13.4;73.4;1.1;1.0
THU;202405020730;8.3;227;13.5;71.3;1.0;1.0
THU;202405020740;8.5;180;13.7;71.4;0.8;0.7
THU;202405020750;8.4;171;13.9;69.9;0.3;0.3
THU;202405020800;8.6;136;14.1;70.9;0.3;0.2
THU;202405020810;8.7;146;14.1;71.7;0.2;0.1
THU;202405020820;8.8;148;14.2;72.0;0.3;0.2
THU;202405020830;9.0;92;14.3;72.8;0.2;0.2
THU;202405020840;9.0;93;14.3;73.6;0.6;0.5
THU;202405020850;9.0;97;14.3;73.6;0.8;0.8
THU;202405020900;9.3;112;14.5;74.4;0.4;0.4
THU;202405020910;9.7;50;14.0;80.5;1.0;0.9
THU;202405020920;10.4;47;13.3;90.6;1.5;1.5
THU;202405020930;10.8;87;12.9;96.0;1.0;0.7
THU;202405020940;11.2;172;13.1;98.1;1.1;1.1
THU;202405020950;11.3;257;13.4;97.3;2.8;2.7
THU;202405021000;10.8;215;13.2;94.3;3.6;3.5
THU;202405021010;9.8;202;12.8;87.1;4.9;4.8
THU;202405021020;8.7;175;12.1;80.6;7.4;7.3
THU;202405021030;8.4;131;11.9;79.6;7.5;7.4
THU;202405021040;8.2;158;11.9;77.2;7.3;7.3
THU;202405021050;8.4;170;11.8;79.8;5.5;5.5
THU;202405021100;8.4;221;11.9;79.8;4.1;4.1
THU;202405021110;8.4;246;12.1;78.9;4.1;4.1
THU;202405021120;8.5;291;11.9;80.7;4.2;4.1
THU;202405021130;9.0;595;12.6;81.5;4.6;4.6
THU;202405021140;8.7;270;12.6;78.6;4.7;4.5
THU;202405021150;8.5;148;12.1;79.1;4.1;3.9
THU;202405021200;8.4;142;11.8;79.6;3.9;3.8
THU;202405021210;8.5;130;11.5;82.9;4.2;4.2
THU;202405021220;8.4;76;11.4;81.9;3.3;3.3
THU;202405021230;8.5;65;11.4;83.0;3.6;3.4
THU;202405021240;8.2;46;10.9;82.7;4.7;4.7
THU;202405021250;8.2;27;10.7;84.1;4.5;4.5
THU;202405021300;8.3;29;10.6;85.6;4.0;4.0
THU;202405021310;8.5;30;10.5;87.6;3.7;3.6
THU;202405021320;8.5;47;10.5;87.8;3.3;3.3
THU;202405021330;8.5;71;10.6;86.8;3.3;3.2
THU;202405021340;8.4;66;10.7;85.9;3.0;2.9
THU;202405021350;8.5;67;10.7;86.1;2.6;2.5
THU;202405021400;8.5;65;10.7;87.1;3.5;3.4
THU;202405021410;8.6;78;10.7;88.2;3.0;3.0
THU;202405021420;8.9;96;10.6;91.0;1.8;1.5
THU;202405021430;9.1;96;10.3;94.7;1.2;1.2
THU;202405021440;9.2;100;10.3;96.9;0.7;0.7
THU;202405021450;9.4;97;10.3;98.3;0.5;0.2
THU;202405021500;9.4;90;10.3;98.1;0.8;0.7
THU;202405021510;9.4;80;10.4;97.3;0.9;0.8
THU;202405021520;9.2;82;10.4;95.8;0.8;0.7
THU;202405021530;9.2;86;10.4;95.2;0.6;0.5
THU;202405021540;9.5;115;10.4;98.3;0.9;0.8
THU;202405021550;9.6;86;10.4;98.9;1.0;0.9
THU;202405021600;9.6;93;10.6;98.9;1.0;0.7
THU;202405021610;9.5;95;10.7;96.8;0.6;0.5
THU;202405021620;9.6;101;10.6;99.0;1.1;1.0
THU;202405021630;9.6;93;10.5;99.2;0.8;0.7
THU;202405021640;9.5;92;10.6;97.7;0.4;0.3
THU;202405021650;9.5;84;10.5;97.4;0.9;0.9
THU;202405021700;9.4;69;10.4;97.5;0.8;0.8
THU;202405021710;8.7;49;10.2;91.9;1.2;1.2
THU;202405021720;8.7;47;9.9;93.7;1.3;1.2
THU;202405021730;8.7;36;9.8;94.4;1.1;1.1
THU;202405021740;8.9;18;9.6;97.5;1.4;1.3
THU;202405021750;8.7;14;9.6;94.8;0.9;0.7
THU;202405021800;8.3;12;9.6;90.1;0.9;0.5
THU;202405021810;8.4;10;9.3;93.5;1.6;1.6
THU;202405021820;8.5;6;9.1;95.7;1.9;1.9
THU;202405021830;8.3;1;9.0;94.0;2.1;2.1
THU;202405021840;8.1;0;8.9;93.4;1.9;1.9
THU;202405021850;8.3;0;8.7;96.4;1.4;0.8
THU;202405021900;8.5;0;8.6;99.0;1.6;1.6
THU;202405021910;8.4;0;8.6;97.7;1.4;1.4
THU;202405021920;8.5;0;8.7;97.8;0.9;0.8
THU;202405021930;8.4;0;8.5;98.6;0.7;0.7
THU;202405021940;8.4;0;8.4;99.2;0.8;0.8
THU;202405021950;8.2;0;8.1;99.3;1.0;1.0
THU;202405022000;8.2;0;8.1;99.3;0.7;0.7
THU;202405022010;8.3;0;8.2;99.3;0.8;0.6
THU;202405022020;8.4;0;8.4;99.3;0.6;0.6
THU;202405022030;8.4;0;8.3;99.3;0.3;0.3
THU;202405022040;8.4;0;8.3;99.3;0.6;0.3
THU;202405022050;8.4;0;8.3;99.3;0.4;0.4
THU;202405022100;8.4;0;8.3;99.3;0.3;0.2
THU;202405022110;8.3;0;8.2;99.2;0.2;0.1
THU;202405022120;8.2;0;8.0;99.3;0.3;0.3
THU;202405022130;8.2;0;8.0;99.3;0.8;0.5
THU;202405022140;8.2;0;8.1;99.3;0.8;0.7
THU;202405022150;8.2;0;7.9;99.3;0.9;0.8
THU;202405022200;8.1;0;7.8;99.3;0.4;0.4
THU;202405022210;8.2;0;7.9;99.3;0.5;0.5
THU;202405022220;8.2;0;8.0;99.3;1.0;0.9
THU;202405022230;8.2;0;8.1;99.3;0.4;0.4
THU;202405022240;8.2;0;8.0;99.3;0.5;0.4
THU;202405022250;8.2;0;7.9;99.3;1.2;1.1
THU;202405022300;8.2;0;8.0;99.3;1.0;1.0
THU;202405022310;8.3;0;8.2;99.3;0.8;0.8
THU;202405022320;8.2;0;8.1;99.2;0.3;0.3
THU;202405022330;8.2;0;8.1;99.2;0.6;0.5
THU;202405022340;8.1;0;7.8;99.3;0.8;0.8
THU;202405022350;8.1;0;7.8;99.3;0.8;0.7
THU;202405030000;8.1;0;7.8;99.3;1.1;1.0
THU;202405030010;8.0;0;7.7;99.3;0.7;0.5
THU;202405030020;8.1;0;7.8;99.3;0.9;0.8
THU;202405030030;8.0;0;7.7;99.3;0.4;0.4
THU;202405030040;8.1;0;7.8;99.3;0.2;0.2
THU;202405030050;8.0;0;7.6;99.3;0.7;0.7
THU;202405030100;8.0;0;7.5;99.3;0.2;0.2
THU;202405030110;7.9;0;7.4;99.3;1.1;0.8
THU;202405030120;8.0;0;7.6;99.3;0.8;0.6
THU;202405030130;8.0;0;7.7;99.3;1.0;0.9
THU;202405030140;8.0;0;7.7;99.3;0.9;0.7
THU;202405030150;8.1;0;7.8;99.3;0.4;0.4
THU;202405030200;8.0;0;7.7;99.3;0.3;0.2
THU;202405030210;8.0;0;7.7;99.3;1.1;0.9
THU;202405030220;8.0;0;7.6;99.3;1.3;1.1
THU;202405030230;8.0;0;7.9;97.7;2.3;2.0
THU;202405030240;7.0;0;8.4;82.2;3.7;3.6
THU;202405030250;6.8;0;8.4;81.2;2.9;2.8
THU;202405030300;6.8;0;8.5;79.7;2.9;2.8
THU;202405030310;7.0;0;8.1;84.3;1.5;1.0
THU;202405030320;7.8;0;7.6;96.6;2.3;2.3
THU;202405030330;8.0;0;7.7;99.2;3.0;3.0
THU;202405030340;8.1;0;7.8;99.2;3.2;3.2
THU;202405030350;8.2;0;7.9;99.1;3.2;3.2
THU;202405030400;8.0;0;7.8;98.1;2.9;2.8
THU;202405030410;8.0;0;7.7;98.8;2.0;1.9
THU;202405030420;7.8;0;7.5;97.7;1.6;1.6
THU;202405030430;7.8;0;7.5;97.1;0.8;0.6
THU;202405030440;7.8;0;7.7;96.6;1.7;1.6
THU;202405030450;7.7;1;7.7;95.1;1.5;1.3
THU;202405030500;7.4;4;7.7;91.8;1.2;1.1
THU;202405030510;7.5;8;7.6;93.1;1.9;1.6
THU;202405030520;7.6;12;7.7;92.9;1.8;1.8
THU;202405030530;7.4;17;7.7;91.7;1.8;1.7
THU;202405030540;7.5;22;7.5;93.5;1.4;1.3
THU;202405030550;7.5;21;7.6;92.9;2.6;2.6
THU;202405030600;7.6;25;7.6;93.6;2.2;2.2
THU;202405030610;7.6;29;7.5;94.2;1.6;1.5
THU;202405030620;7.6;30;7.6;93.5;1.6;1.5
THU;202405030630;7.5;41;7.6;92.7;2.2;2.2
THU;202405030640;7.5;54;7.6;93.3;1.3;1.1
THU;202405030650;7.8;70;7.7;96.5;1.2;1.2
THU;202405030700;7.6;95;7.9;92.8;2.1;2.0
THU;202405030710;7.7;152;8.2;91.8;1.6;1.5
THU;202405030720;7.6;179;8.4;90.2;1.5;1.5
THU;202405030730;7.5;154;8.5;87.2;2.0;2.0
THU;202405030740;7.3;148;8.5;85.7;2.3;2.2
THU;202405030750;7.5;145;8.6;87.1;1.1;0.9
THU;202405030800;7.5;155;8.6;86.6;1.5;1.5
THU;202405030810;7.4;175;8.6;85.8;0.9;0.9
THU;202405030820;7.5;212;8.9;86.0;0.6;0.6
THU;202405030830;7.5;207;8.9;84.8;0.5;0.5
THU;202405030840;7.4;217;9.0;84.1;0.5;0.3
THU;202405030850;7.5;278;9.1;85.0;0.7;0.6
THU;202405030900;7.5;346;9.3;83.5;1.2;1.1
THU;202405030910;7.5;384;9.6;82.4;1.1;0.9
THU;202405030920;7.4;406;9.6;80.9;0.8;0.6
THU;202405030930;7.5;365;9.9;80.3;0.8;0.7
THU;202405030940;7.3;429;10.2;76.9;1.4;1.2
THU;202405030950;7.3;642;10.6;74.3;1.0;0.7
THU;202405031000;7.2;689;10.9;73.2;1.3;1.2
THU;202405031010;7.2;494;10.8;72.8;1.2;1.1
THU;202405031020;7.1;428;10.7;72.3;1.3;0.9
THU;202405031030;7.2;302;10.8;73.1;1.0;0.7
THU;202405031040;7.2;231;10.6;73.5;1.2;1.1
THU;202405031050;7.1;333;10.6;72.5;1.3;1.2
THU;202405031100;7.2;377;11.0;71.4;1.7;1.4
THU;202405031110;7.2;347;11.2;70.5;1.8;1.7
THU;202405031120;7.0;392;11.4;68.6;1.5;1.1
THU;202405031130;6.9;385;11.6;66.8;1.6;1.2
THU;202405031140;6.9;282;11.5;66.9;2.9;2.6
THU;202405031150;6.9;279;11.5;66.1;2.0;1.8
THU;202405031200;6.8;226;11.4;66.2;1.9;1.9
THU;202405031210;6.8;232;11.5;65.9;1.4;1.2
THU;202405031220;7.0;252;11.7;66.6;1.4;1.3
THU;202405031230;6.9;193;11.7;66.3;1.2;1.0
THU;202405031240;7.0;138;11.7;67.1;0.3;0.3
THU;202405031250;6.8;131;11.4;66.4;1.2;1.2
THU;202405031300;6.9;123;11.5;67.2;1.1;1.1
THU;202405031310;7.4;127;11.3;72.5;2.2;2.2
THU;202405031320;7.5;133;11.0;74.9;2.9;2.9
THU;202405031330;7.6;155;10.8;76.8;3.1;3.1
THU;202405031340;8.1;163;10.7;82.2;2.5;2.5
THU;202405031350;8.1;157;10.9;81.4;2.1;2.1
THU;202405031400;7.5;131;11.1;75.1;2.0;2.0
THU;202405031410;7.5;108;11.3;73.9;2.0;2.0
THU;202405031420;7.4;88;11.3;72.2;2.0;2.0
THU;202405031430;7.3;62;11.2;71.9;2.1;2.1
THU;202405031440;7.5;47;11.1;74.6;1.8;1.8
THU;202405031450;7.5;57;11.0;75.6;1.5;1.5
THU;202405031500;7.5;62;11.0;75.3;1.3;1.2
THU;202405031510;7.5;62;10.8;75.8;2.4;2.4
THU;202405031520;7.2;57;10.2;75.8;2.9;2.9
THU;202405031530;7.7;41;9.6;84.5;1.8;1.7
THU;202405031540;8.0;35;9.3;88.6;1.2;1.1
THU;202405031550;8.3;30;9.2;92.8;1.0;1.0
THU;202405031600;8.4;30;9.1;94.5;1.7;1.7
THU;202405031610;8.6;37;9.1;97.0;1.4;1.4
THU;202405031620;8.8;36;9.1;98.7;1.4;1.4
THU;202405031630;8.6;43;9.4;94.8;2.4;2.3
THU;202405031640;7.7;45;9.5;84.1;3.0;3.0
THU;202405031650;7.1;36;9.4;78.7;3.4;3.4
THU;202405031700;7.1;27;9.1;79.8;4.5;4.5
THU;202405031710;7.4;21;8.9;83.9;3.5;3.4
THU;202405031720;7.7;15;8.5;90.5;2.0;1.8
THU;202405031730;7.8;11;8.5;91.3;2.4;2.4
THU;202405031740;8.2;13;8.7;95.4;2.7;2.7
THU;202405031750;8.4;15;8.7;97.1;2.1;2.1
THU;202405031800;8.4;11;8.4;98.8;2.6;2.6
THU;202405031810;8.4;8;8.4;99.2;2.6;2.6
THU;202405031820;8.4;8;8.3;99.2;2.2;2.1
THU;202405031830;8.4;6;8.3;99.2;1.9;1.9
THU;202405031840;8.3;2;8.2;99.2;1.9;1.9
THU;202405031850;8.2;0;8.1;99.2;1.9;1.9
THU;202405031900;8.2;0;8.0;98.9;2.6;2.6
THU;202405031910;8.1;0;7.9;98.2;2.9;2.9
THU;202405031920;7.9;0;7.8;97.6;2.5;2.5
THU;202405031930;7.8;0;7.6;96.9;2.9;2.9
THU;202405031940;7.6;0;7.5;95.2;2.7;2.7
THU;202405031950;7.6;0;7.5;95.0;2.6;2.6
THU;202405032000;7.6;0;7.3;95.4;1.9;1.9
THU;202405032010;7.6;0;7.3;95.9;1.5;1.4
THU;202405032020;7.7;0;7.6;96.1;2.7;2.6
THU;202405032030;7.8;0;7.4;98.0;2.0;1.8
THU;202405032040;7.8;0;7.4;98.2;2.6;2.5
THU;202405032050;7.7;0;7.1;98.8;1.7;1.4
THU;202405032100;7.6;0;6.9;98.1;1.1;0.9
THU;202405032110;7.4;0;6.7;97.3;0.9;0.8
THU;202405032120;7.3;0;6.2;98.8;1.0;1.0
THU;202405032130;7.1;0;5.8;99.2;1.1;1.1
THU;202405032140;7.1;0;5.9;99.3;1.1;1.0
THU;202405032150;6.9;0;5.4;99.3;1.8;1.8
THU;202405032200;6.9;0;5.2;99.3;1.7;1.7
THU;202405032210;6.9;0;5.2;99.3;1.5;1.4
THU;202405032220;6.6;0;4.7;99.3;1.5;1.4
THU;202405032230;6.6;0;4.8;99.3;1.4;1.4
THU;202405032240;6.8;0;5.1;99.3;1.5;1.4
THU;202405032250;6.9;0;5.2;99.3;2.1;2.1
THU;202405032300;6.5;0;4.4;99.3;1.9;1.9
THU;202405032310;6.4;0;4.2;99.3;1.2;1.1
THU;202405032320;6.3;0;4.1;99.3;1.2;1.1
THU;202405032330;6.0;0;3.4;99.3;1.3;1.3
THU;202405032340;6.0;0;3.3;99.3;1.5;1.4
THU;202405032350;6.0;0;3.3;99.3;1.6;1.6
THU;202405040000;6.3;0;3.9;99.3;1.1;1.1
THU;202405040010;6.4;0;4.3;99.3;1.5;1.5
THU;202405040020;6.5;0;4.4;99.3;1.3;1.3
THU;202405040030;6.4;0;4.3;99.3;1.2;1.2
THU;202405040040;6.4;0;4.3;99.3;1.9;1.9
THU;202405040050;6.4;0;4.3;99.3;1.8;1.8
THU;202405040100;6.6;0;4.8;99.3;2.0;1.9
THU;202405040110;6.8;0;5.3;99.3;1.4;1.4
THU;202405040120;7.0;0;5.6;99.2;0.8;0.7
THU;202405040130;6.8;0;5.3;99.2;0.8;0.8
THU;202405040140;6.8;0;5.1;99.3;1.8;1.7
THU;202405040150;6.8;0;5.3;99.3;2.1;2.1
THU;202405040200;6.6;0;4.8;99.3;2.2;2.1
THU;202405040210;6.5;0;4.4;99.3;2.4;2.4
THU;202405040220;6.4;0;4.3;99.3;2.1;2.1
THU;202405040230;6.3;0;4.1;99.3;1.1;1.1
THU;202405040240;6.3;0;4.0;99.3;0.6;0.5
THU;202405040250;6.3;0;3.8;99.3;0.5;0.2
THU;202405040300;6.3;0;3.9;99.3;0.5;0.4
THU;202405040310;6.1;0;3.6;99.3;1.1;1.0
THU;202405040320;6.0;0;3.3;99.3;0.6;0.5
THU;202405040330;6.0;0;3.2;99.3;0.5;0.5
THU;202405040340;5.9;0;2.9;99.3;0.3;0.1
THU;202405040350;5.5;0;2.0;99.3;1.2;1.0
THU;202405040400;5.4;0;1.7;99.3;1.1;1.1
THU;202405040410;5.4;0;1.8;99.3;0.9;0.7
THU;202405040420;5.5;3;2.0;99.3;0.7;0.6
THU;202405040430;5.5;7;2.0;99.3;1.3;1.3
THU;202405040440;5.5;14;2.0;99.3;0.8;0.7
THU;202405040450;5.6;50;2.2;99.3;0.7;0.5
THU;202405040500;5.6;68;2.2;99.3;2.0;1.9
